"","Team","year_group","W/L%","EFG","Opp_EFG","TTP","DTTP","ORebRate","DRebRate","FTR","OFTR","EFG_diff","TTP_diff","RebRate_diff","FTR_diff"
"14","Los Angeles Lakers","2013-2014",0.439024390243902,0.508406754772393,0.504645560908465,0.236107766808465,0.212434026106948,0.226747311827957,0.682914380502743,0.218355359765051,0.177494838265657,0.00376119386392826,0.0236737407015167,-0.456167068674786,0.0408605214993941
"15","Memphis Grizzlies","2013-2014",0.646341463414634,0.483472616027459,0.486379956290977,0.230130447841157,0.252610306500505,0.274603608529251,0.696218487394958,0.192807043724817,0.203793318763659,-0.00290734026351858,-0.022479858659348,-0.421614878865707,-0.0109862750388419
"16","Miami Heat","2013-2014",0.731707317073171,0.553169572107765,0.498855660665243,0.228546695340947,0.262316705088291,0.205845181674566,0.67612064194798,0.226148969889065,0.206209948123283,0.0543139114425228,-0.0337700097473435,-0.470275460273414,0.0199390217657815
"17","Milwaukee Bucks","2013-2014",0.323170731707317,0.477572843404622,0.505633596722271,0.238614481128126,0.235926614204541,0.259612936083524,0.669742198100407,0.188603416104493,0.212832894351771,-0.0280607533176492,0.00268786692358511,-0.410129262016883,-0.0242294782472779
"18","Minnesota Timberwolves","2013-2014",0.432926829268293,0.479714635728183,0.514666180226195,0.22656198912964,0.251407998723971,0.257843770174306,0.70375464172741,0.23816386827124,0.181466618022619,-0.0349515444980115,-0.0248460095943311,-0.445910871553104,0.0566972502486207
"19","New Orleans Pelicans","2013-2014",0.371951219512195,0.49187265917603,0.517381941239809,0.233374339677256,0.225083254043768,0.263367151083082,0.710134451351742,0.206591760299625,0.22888786340563,-0.0255092820637793,0.0082910856334881,-0.44676730026866,-0.0222961031060044
"20","New York Knicks","2013-2014",0.554878048780488,0.509979148048853,0.511201629327902,0.214325423530444,0.243786693151146,0.237677245104659,0.704598033545402,0.192433720583855,0.230769230769231,-0.00122248127904911,-0.0294612696207013,-0.466920788440743,-0.0383355101853761
"21","Oklahoma City Thunder","2013-2014",0.725609756097561,0.5231822971549,0.478319096568698,0.234527187954519,0.243436130671765,0.24992822279644,0.700152594099695,0.261327713382508,0.208773707832634,0.0448632005862015,-0.00890894271724588,-0.450224371303255,0.0525540055498743
"22","Orlando Magic","2013-2014",0.26219512195122,0.485790473407364,0.505947602714734,0.244227802901179,0.214764195655536,0.222368942294995,0.71085313174946,0.170441262419638,0.203240166386923,-0.02015712930737,0.0294636072456428,-0.488484189454465,-0.0327989039672849
"23","Philadelphia 76ers","2013-2014",0.323170731707317,0.478070487718049,0.509986782200029,0.24367478253962,0.24133053442581,0.234196496572734,0.690036900369004,0.168458526165895,0.222940226171244,-0.0319162944819802,0.00234424811380937,-0.455840403796269,-0.0544817000053486
"24","Phoenix Suns","2013-2014",0.445121951219512,0.498147071646563,0.504077584306811,0.244724337719586,0.238216970592134,0.250630893877009,0.69132932166302,0.197863682604273,0.222320182205569,-0.00593051266024769,0.00650736712745212,-0.440698427786011,-0.0244564996012964
