"","Team","year","W/L%","Conference","MadePlayoffs","EFG","Opp_EFG","TTP","DTTP","ORebRate","DRebRate","FTR","OFTR"
"598","New Jersey Nets",2011,0.293,"East","No",0.4741639047906,0.503256588912451,0.235215328198888,0.201612903225806,0.244354838709677,0.690631191621851,0.214974389876469,0.240684641017873
"599","New Jersey Nets",2012,0.333,"East","No",0.472838345864662,0.513128069512656,0.255947236284315,0.229923732615523,0.256049705689993,0.672753311851056,0.209210526315789,0.208915753683415
"600","New Jersey Nets",1982,0.537,"East","Yes",0.486508924865089,0.486299394289011,0.2666985627372,0.287385538264058,0.320450885668277,0.646059593428014,0.237166182371662,0.28064609172195
"601","New Jersey Nets",1983,0.598,"East","Yes",0.493697478991597,0.481111749497271,0.29286491625283,0.299801307524676,0.348760330578512,0.66767537826685,0.227170868347339,0.250790002872738
"602","New Jersey Nets",1984,0.549,"East","Yes",0.50130890052356,0.494121020934901,0.25456249445915,0.266857962697274,0.335071350164654,0.651182432432432,0.240011022320198,0.292084886722111
"603","New Jersey Nets",1985,0.512,"East","Yes",0.493216924110141,0.504758522727273,0.22638874037639,0.245658285383989,0.324559094498552,0.659387407827567,0.219073203492277,0.262642045454545
"604","New Jersey Nets",1986,0.476,"East","Yes",0.48890562936584,0.498596294216732,0.254968238242322,0.246413016043542,0.31521449507061,0.685911602209945,0.247911245034927,0.28186412128018
"605","New Jersey Nets",1992,0.488,"East","Yes",0.472955145118733,0.48815331010453,0.242130750605327,0.232155327990707,0.368151935719503,0.637356781241673,0.194063324538259,0.247386759581882
"606","New Jersey Nets",1993,0.524,"East","Yes",0.472826086956522,0.479697624190065,0.241080896429512,0.236055697559068,0.338667366211962,0.674744211093161,0.244494635798984,0.239740820734341
"607","New Jersey Nets",1994,0.549,"East","Yes",0.461068165846803,0.474877192982456,0.218935344511972,0.230653221752373,0.329447541814496,0.662347758486655,0.267041461700632,0.212491228070175
